Arabic,English
مِن,From
ٱللَّه,Allah (God)
فِي,In
إِنّ,Indeed
عَلَىٰ,Upon
ٱلَّذِي,The one who / That
لَا,No / Not
مَا,What
رَبّ,Lord
إِلَىٰ,To / Towards
مَا,What / Whatever
مَن,Who / Whoever
أَن,That
إِلَّا,Except
ذَٰلِك,That
عَن,About / Concerning
أَرْض,Earth / Land
قَد,Indeed / Already
قَوْم,People / Nation
ءَايَة,Sign / Verse
أَنّ,That / Indeed
كُلّ,All / Every
لَم,Did not
ثُمّ,Then
لَا,No / Not
عَذَاب,Punishment
هَٰذَا,This
سَمَاء,Sky / Heaven
نَفْس,Soul / Self
شَيْء,Thing
أَو,Or
كِتَٰب,Book
بَيْن,Between
نَاس,People
إِذ,When
أُولَٰٓئِك,Those
قَبْل,Before
لَو,If only
سَبِيل,Path / Way
أَمْر,Matter / Command
عِند,With / At
مَع,With
بَعْض,Some
لَمَّا,When / Not yet
أَيُّهَا,O (Calling attention)
خَيْر,Good / Better
إِلَٰه,God / Deity
أَم,Or
مُوسَىٰ,Moses
آخِر,Last / End
بَعْد,After
قَلْب,Heart
عَبْد,Servant / Slave
أَهْل,People / Family
لَعَلّ,Perhaps
بَل,Rather
يَد,Hand
كَٰفِرُون,Disbelievers
رَحْمَة,Mercy
رَحِيم,Merciful
أَجْر,Reward
ظَالِم,Oppressor / Wrongdoer
عِلْم,Knowledge
لَن,Will not
إِلَّا,Except
عَلِيم,All-Knowing
حَتَّىٰ,Until
هَل,Is / Are / Do (Question particle)
دِين,Religion
قَوْل,Saying / Speech
ذُو,Possessor of
مَلَك,Angel
مَثَل,Example / Likeness
مَال,Wealth / Money
وَلِىّ,Guardian / Protector
هُدًى,Guidance
حَكِيم,Wise
فَضْل,Bounty / Favor
صَلَوٰة,Prayer
لَيْل,Night
بُنَىّ,Children
كَيْف,How
يَوْم,Day
أَصْحَٰب,Companions
أَكْثَر,Most
جَهَنَّم,Hell
حَيَوٰة,Life
زَوْج,Spouse
أَخ,Brother
مِثْل,Like / Similar to
أَحَد,One / Anyone
خَٰلِد,Eternal
دُنْيَا,Worldly life
فِرْعَوْن,Pharaoh
عَٰلَمِين,Worlds / Universes
أَلِيم,Painful
مُبِين,Clear
إِنسَٰن,Human
عَمَل,Deed / Action
وَجْه,Face
قِيَٰمَة,Resurrection / Judgment Day
إِبْرَاهِيم,Abraham
قُرْءَان,Quran
بَيْت,House
يَمِين,Right (Direction / Hand)
آبَاء,Fathers
أُمَّة,Nation / Community
ٱبْن,Son
عَزِيز,Mighty
مَآء,Water
صَٰلِحَٰت,Righteous deeds
غَفُور,Forgiving
أَوَّل,First
صَادِق,Truthful
نِسَآء,Women
نَذِير,Warner
عَيْن,Eye / Spring
قَرْيَة,Village
نَهَار,Daytime
وَلَد,Child
بَيِّنَة,Clear proof
رِزْق,Provision
جَمِيع,All
أَجَل,Appointed time
خَلْق,Creation
سُوٓء,Evil
مَوْت,Death
نِعْمَة,Blessing
عَدُوّ,Enemy
غَيْب,Unseen
مُتَّقِين,God-fearing / Pious
وَعْد,Promise
بَصَر,Vision
تَحْت,Beneath
دَار,Abode
مُلْك,Kingdom
حِسَاب,Reckoning / Account
سَلَٰم,Peace
شَهِيد,Witness
جَبَل,Mountain
سَمِيع,All-Hearing
